hour,indv-rate-american,indv-rate-asian,occupancy-rate
0.0,15.25505714,15.25505714,50
0.5,13.01903766,13.01903766,50
1.0,7.814737532,5.39884925,50
1.5,8.041424102,4.71319452,50
2.0,10.30196264,3.55215921,50
2.5,10.52739207,2.731425889,50
3.0,10.77995346,2.371785477,50
3.5,11.01660055,1.995603719,50
4.0,9.860721505,1.826250391,50
4.5,9.277566533,1.482674792,50
5.0,5.851157112,0.5049595207,50
5.5,8.948982103,0.5176971958,50
6.0,7.544461087,1.287009467,50
6.5,9.194518845,0.7469922416,50
7.0,22.73589885,2.47957479,50
7.5,29.8782952,3.048254918,50
8.0,25.55323195,3.329727614,50
8.5,22.69930284,3.469684667,50
9.0,10.34370105,3.757012108,50
9.5,11.87993426,4.27544614,50
10.0,10.71766018,3.782833731,50
10.5,11.14982599,7.152134781,50
11.0,10.07919505,8.046199352,50
11.5,7.391770151,7.391770151,50
12.0,7.883420451,7.883420451,50
12.5,8.589463719,8.589463719,50
13.0,8.595692621,8.595692621,50
13.5,7.814737532,7.814737532,50
14.0,8.041424102,8.041424102,50
14.5,10.30196264,10.30196264,50
15.0,10.52739207,10.52739207,50
15.5,10.77995346,10.77995346,50
16.0,11.01660055,11.01660055,50
16.5,9.860721505,9.860721505,50
17.0,9.277566533,9.277566533,50
17.5,5.851157112,5.851157112,50
18.0,8.948982103,8.948982103,50
18.5,7.544461087,7.544461087,50
19.0,9.194518845,9.194518845,50
19.5,22.73589885,22.73589885,50
20.0,29.8782952,29.8782952,50
20.5,25.55323195,25.55323195,50
21.0,22.69930284,22.69930284,50
21.5,10.34370105,10.34370105,50
22.0,11.87993426,11.87993426,50
22.5,10.71766018,10.71766018,50
23.0,11.14982599,11.14982599,50
23.5,10.07919505,10.07919505,50
