hour,indv-rate-american,indv-rate-asian
0,15.25505714,15.25505714
0.5,13.01903766,13.01903766
1,7.814737532,5.39884925
1.5,8.041424102,4.71319452
2,10.30196264,3.55215921
2.5,10.52739207,2.731425889
3,10.77995346,2.371785477
3.5,11.01660055,1.995603719
4,9.860721505,1.826250391
4.5,9.277566533,1.482674792
5,5.851157112,0.5049595207
5.5,8.948982103,0.5176971958
6,7.544461087,1.287009467
6.5,9.194518845,0.7469922416
7,22.73589885,2.47957479
7.5,29.8782952,3.048254918
8,25.55323195,3.329727614
8.5,22.69930284,3.469684667
9,10.34370105,3.757012108
9.5,11.87993426,4.27544614
10,10.71766018,3.782833731
10.5,11.14982599,7.152134781
11,10.07919505,8.046199352
11.5,7.391770151,7.391770151
12,7.883420451,7.883420451
12.5,8.589463719,8.589463719
13,8.595692621,8.595692621
13.5,7.814737532,7.814737532
14,8.041424102,8.041424102
14.5,10.30196264,10.30196264
15,10.52739207,10.52739207
15.5,10.77995346,10.77995346
16,11.01660055,11.01660055
16.5,9.860721505,9.860721505
17,9.277566533,9.277566533
17.5,5.851157112,5.851157112
18,8.948982103,8.948982103
18.5,7.544461087,7.544461087
19,9.194518845,9.194518845
19.5,22.73589885,22.73589885
20,29.8782952,29.8782952
20.5,25.55323195,25.55323195
21,22.69930284,22.69930284
21.5,10.34370105,10.34370105
22,11.87993426,11.87993426
22.5,10.71766018,10.71766018
23,11.14982599,11.14982599
23.5,10.07919505,10.07919505
